,Total_floor,Curent_floor,Price,TotalSq,LiveSq,KichSq,RoomSq,new_or_not,house_type,pass_elevator,gruz_elevator,balkon,lodgya,visokiy_potolok,sovmest_sanuz,razdeln_sanuz,exist_sanuz,do_metro_peshkom,do_metro_mashina,past_year,future_year,latitude,longitude,sell_type,phone,status_doma,repair,parking,view_window,otdelka,metro_name
237,18,5,3525800.0,34.0,15.0,8.0,15,новостройка,монолитный,1,1,0,0,,1.0,,,,5.0,,['2018'],55.541158,37.484935,свободная,,,,,двор,,"Бунинская аллея,"
238,17,8,3527150.0,27.5,,,,новостройка,монолитный,2,1,0,1,,1.0,,,20.0,,,['2019'],55.869424,37.473391,свободная,,,,,двор,,"Речной вокзал,"
239,9,4,3539160.0,35.4,18.0,5.6,18,новостройка,панельный дом,1,1,0,0,,1.0,,,,5.0,,['2017'],55.541158,37.484935,свободная,,,,,двор,,"Бунинская аллея,"
240,18,4,3539620.0,36.7,19.3,9.2,19.31,новостройка,монолитный,1,1,1,0,,1.0,,,,30.0,,['2018'],55.966409,37.150548,свободная,,,,,двор,,"Пятницкое шоссе,"
241,9,9,35417003728074.0,37.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2018'],55.593565,37.460725,свободная,,,,,двор,,"Саларьево,"
242,17,1,3550000.0,37.0,20.0,9.0,20,вторичка,,0,0,0,0,2.64,1.0,,,,,,,55.987462,37.15141,свободная,,,косметический,,двор,,
243,8,5,3550000.0,30.9,23.0,,23,новостройка,,1,1,0,1,,1.0,,,,10.0,1989.0,['2017'],55.9203,37.550217,переуступка,,,,,,,"Алтуфьево,"
244,12,1,3550000.0,32.0,17.0,7.0,17,вторичка,,1,0,0,1,2.6,,1.0,,,40.0,,,55.468683,37.292283,свободная,нет,,косметический,,улица,,"Теплый Стан,"
245,13,2,3551064.0,38.9,,,,вторичка,кирпично-монолитный,1,1,0,1,,1.0,,,,10.0,1978.0,,55.50055,37.542976,свободная,нет,,,,двор,,"Бунинская аллея,"
246,24,22,3558870.0,26.9,10.8,7.3,10.8,новостройка,кирпично-монолитный,2,1,0,0,,1.0,,,,15.0,,['2017'],55.57668,37.481457,свободная,,,,,двор,,"Теплый Стан,"
247,15,10,3563691.0,35.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,,7.0,,['2019'],55.569153,37.495383,свободная,,,,,улица,,"Бунинская аллея,"
248,17,6,3567000.0,41.0,16.2,12.4,16.2,новостройка,панельный дом,1,1,0,1,2.8,,1.0,,,20.0,,['2018'],55.518826,37.345122,переуступка,,,,открытая,,,"Теплый Стан,"
249,14,4,35788003767120.0,39.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2019'],55.590994,37.452291,свободная,,,,,улица,,"Саларьево,"
250,9,7,3580000.0,35.0,18.0,10.0,18,вторичка,,1,1,0,1,2.7,1.0,,,,25.0,,,55.429006,36.868575,свободная,нет,,евроремонт,,двор,,"Саларьево,"
251,17,12,3582800.0,33.8,,,,новостройка,,0,0,0,0,,,,,,,1984.0,['2018'],55.620652,37.266062,свободная,,,,,,,
252,29,23,13700000.0,50.0,19.0,10.0,19,вторичка,кирпично-монолитный,1,1,1,0,3.2,1.0,,,,5.0,,,55.820486,37.701385,свободная,,,евроремонт,подземная,улица,,"Бульвар Рокоссовского,"
253,16,15,14900000.0,74.8,45.8,10.1,45.800000000000004,вторичка,,2,1,0,2,,1.0,,,,,,,55.657621,37.482771,свободная,да,,евроремонт,наземная,двор и улица,,
254,32,21,6100000.0,52.0,25.8,12.5,25.77,новостройка,монолитный,0,0,0,0,,,,нет,9.0,,1971.0,['2018'],55.645719,37.704716,переуступка,,,,,,,"Марьино,"
255,9,6,35832003771789.0,35.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2019'],55.593265,37.460141,свободная,,,,,улица,,"Саларьево,"
256,16,8,3593840.0,33.4,13.5,10.8,13.5,новостройка,монолитный,1,1,0,1,,1.0,,,,20.0,,['2019'],55.925023,37.548865,свободная,,,,,двор,,"Алтуфьево,"
257,13,13,35985003787883.0,38.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2018'],55.593342,37.461439,свободная,,,,,улица,,"Саларьево,"
258,7,4,35986003788050.0,40.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2019'],55.590994,37.452291,свободная,,,,,улица,,"Саларьево,"
259,5,5,3600000.0,31.0,19.0,6.0,19,вторичка,,0,0,0,0,,1.0,,,,15.0,,,55.61209,37.287019,свободная,,,косметический,,двор,,"Юго-Западная,"
260,5,4,3600000.0,42.0,28.0,6.0,28,вторичка,панельный дом,0,0,1,0,,,1.0,,,10.0,1964.0,,55.515023,37.5281,свободная,нет,,косметический,,двор,,"Бунинская аллея,"
261,9,1,3600000.0,19.0,13.0,4.0,13,вторичка,,0,0,0,0,2.64,1.0,,,3.0,,,,55.653802,37.599013,свободная,да,,отсутствует,,двор,,"Каховская,"
262,5,5,3600000.0,31.2,17.0,6.0,17,вторичка,,0,0,1,0,,,1.0,,,,1966.0,,55.485775,37.495671,свободная,,,косметический,,двор,,
263,9,7,3600000.0,33.0,18.0,8.0,18,вторичка,,0,0,0,1,,,1.0,,,,1973.0,,55.514773,37.569827,свободная,да,,косметический,,двор,,
264,4,4,3600000.0,37.0,30.0,5.0,30,вторичка,,0,0,0,0,,1.0,,,14.0,,1983.0,,55.860145,37.362172,свободная,,,отсутствует,наземная,двор,,"Пятницкое шоссе,"
265,4,4,3600000.0,67.4,50.0,10.0,50,вторичка,,0,0,0,0,4.0,1.0,,,,20.0,,,55.536502,37.158866,свободная,,апартаменты,отсутствует,наземная,двор,,"Теплый Стан,"
266,13,10,3600000.0,37.1,21.0,,,вторичка,кирпично-монолитный,1,1,0,0,,,,нет,,,,,55.50055,37.542976,свободная,,,отсутствует,,,,"Улица Горчакова,"
267,19,15,3600000.0,40.0,17.0,11.0,17,новостройка,монолитный,2,1,1,0,,1.0,,,,10.0,,['2017'],55.626326,37.310091,переуступка,,апартаменты,,подземная,двор,,"Саларьево,"
268,5,4,3600000.0,44.5,27.5,16.0,32.9,вторичка,,0,0,1,0,,,2.0,,,50.0,,,55.317748,37.180623,альтернатива,да,,косметический,,двор,,"Теплый Стан,"
269,16,15,3606720.0,34.0,14.0,,,новостройка,монолитный,1,1,1,0,,,1.0,,,7.0,1975.0,['2019'],55.565523,37.495502,свободная,,,,,улица,,"Бунинская аллея,"
270,13,3,3609600.0,38.4,16.0,11.2,15.95,новостройка,монолитный,1,1,0,1,2.8,,1.0,,,20.0,,['2018'],55.516569,37.355069,переуступка,,,,подземная,,,"Теплый Стан,"
271,13,2,3609600.0,38.4,16.0,11.2,15.95,новостройка,монолитный,1,1,0,1,2.8,,2.0,,,20.0,,['2018'],55.518242,37.355143,переуступка,,,,подземная,,,"Теплый Стан,"
272,9,9,36140003804159.0,39.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2019'],55.593265,37.460141,свободная,,,,,улица,,"Саларьево,"
273,16,10,3615360.0,33.6,13.8,10.8,13.8,новостройка,монолитный,1,1,0,1,,1.0,,,,20.0,,['2019'],55.925023,37.548865,свободная,,,,,двор,,"Алтуфьево,"
274,16,15,3616380.0,33.3,12.7,12.6,12.7,новостройка,монолитный,1,1,0,1,,1.0,,,,20.0,,['2019'],55.925023,37.548865,свободная,,,,,двор,,"Алтуфьево,"
275,17,2,3619148.0,41.1,16.5,11.2,16.51,новостройка,монолитный,1,1,1,0,,1.0,,,,30.0,,['2017'],55.966409,37.150548,свободная,,,,,двор,,"Пятницкое шоссе,"
276,15,15,3626825.0,39.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,20.0,,,['2019'],55.549904,37.508807,свободная,,,,,улица,,"Улица Горчакова,"
277,17,1,3629000.0,38.2,22.5,4.0,22.5,новостройка,кирпично-монолитный,2,1,0,0,,1.0,,,,15.0,,['2017'],55.57668,37.481457,свободная,,,,,улица,,"Теплый Стан,"
278,9,8,36296003820643.0,33.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2018'],55.593565,37.460725,свободная,,,,,двор,,"Саларьево,"
279,9,2,3636736.0,31.3,,,,новостройка,,1,2,1,0,,1.0,,,,,,['2017'],55.871854,37.474049,свободная,,,,,улица,есть,
280,17,1,6500000.0,65.0,38.0,9.0,38,вторичка,панельный дом,1,1,0,0,,,1.0,,,25.0,,,55.683894,37.928021,альтернатива,нет,,,,двор,,"Котельники,"
281,7,3,23000000.0,38.0,20.0,10.0,20,вторичка,кирпичный,1,0,0,0,,1.0,,,,5.0,,,55.730943,37.591189,свободная,нет,,евроремонт,,улица,,"Парк Культуры,"
282,9,2,160000090100960.0,148.3,96.0,15.0,96,вторичка,кирпичный,1,0,1,0,,,1.0,,7.0,,,,55.763123,37.594261,свободная,нет,,дизайнерский,,двор и улица,,"Пушкинская,"
283,16,2,3646591.0,37.0,17.0,,,новостройка,монолитный,1,1,1,0,,,1.0,,,7.0,,['2019'],55.565536,37.496855,свободная,,,,,улица,,"Бунинская аллея,"
284,9,2,36475003839501.0,35.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2018'],55.593565,37.460725,свободная,,,,,двор,,"Саларьево,"
285,15,11,3649898.0,37.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,20.0,,,['2019'],55.550464,37.508592,свободная,,,,,улица,,"Улица Горчакова,"
286,3,2,3650000.0,45.0,16.0,15.0,16,вторичка,монолитный,0,0,0,1,,1.0,,,,15.0,,,55.518943,37.394575,свободная,да,,отсутствует,,двор,,"Теплый Стан,"
287,10,9,3650000.0,38.0,17.0,10.0,17,новостройка,монолитный,1,1,0,1,,2.0,,,,10.0,,['2016'],55.504134,37.536212,переуступка,,,,,двор,,"Бунинская аллея,"
288,5,2,3650000.0,16.4,14.4,2.0,14.4,вторичка,кирпичный,0,0,0,0,3.2,1.0,,,20.0,,,,55.790879,37.818957,свободная,нет,,евроремонт,,двор и улица,,"Первомайская,"
289,5,2,3650000.0,15.8,13.8,,,вторичка,кирпичный,0,0,0,0,3.2,1.0,,,10.0,,1952.0,,55.790879,37.818957,свободная,,,евроремонт,,двор и улица,,"Первомайская,"
290,5,3,3650000.0,16.2,14.2,2.0,14.2,вторичка,кирпичный,0,0,0,0,3.2,1.0,,,16.0,,,,55.790879,37.818957,свободная,нет,,евроремонт,,двор и улица,,"Первомайская,"
291,16,8,3659820.0,33.7,12.7,12.7,12.7,новостройка,монолитный,1,1,0,1,,1.0,,,,20.0,1952.0,['2019'],55.925023,37.548865,свободная,,,,,двор,,"Алтуфьево,"
292,9,2,3662080.0,32.1,,,,новостройка,,1,2,1,0,,1.0,,,,,,['2017'],55.871854,37.474049,свободная,,,,,двор,есть,
293,9,2,36695003862620.0,41.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2019'],55.590994,37.452291,свободная,,,,,улица,,"Саларьево,"
294,18,2,3670700.0,35.5,18.0,5.6,18,новостройка,монолитный,1,1,0,0,,1.0,,,,5.0,,['2018'],55.541158,37.484935,свободная,,,,,двор,,"Бунинская аллея,"
295,17,10,3673619.0,23.1,13.2,,13.17,новостройка,монолитный,1,1,0,1,,1.0,,,,4.0,,['2019'],55.670397,37.774751,свободная,,,,,двор,,"Люблино,"
296,9,2,36744003867800.0,42.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2019'],55.590994,37.452291,свободная,,,,,улица,,"Саларьево,"
297,21,16,3675000.0,24.5,10.2,7.3,10.2,новостройка,кирпично-монолитный,2,1,0,0,,1.0,,,,15.0,,['2017'],55.57668,37.481457,свободная,,,,,двор,,"Теплый Стан,"
298,17,15,3677660.0,24.1,17.2,,17.21,новостройка,монолитный,1,1,0,1,,1.0,,,,4.0,,['2019'],55.670397,37.774751,свободная,,,,,двор,,"Люблино,"
299,15,4,36849003878815.0,41.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2019'],55.590994,37.452291,свободная,,,,,улица,,"Саларьево,"
300,9,6,36869003880913.0,34.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2018'],55.593565,37.460725,свободная,,,,,двор,,"Саларьево,"
301,17,2,3689000.0,31.0,,,,новостройка,кирпично-монолитный,2,1,0,0,,1.0,,,,15.0,,['2017'],55.57668,37.481457,свободная,,,,,двор,,"Теплый Стан,"
302,3,1,3690000.0,67.1,42.3,13.4,42.27,новостройка,монолитный,1,1,1,0,,,1.0,,,37.0,,['2016'],55.49766,36.917628,свободная,,,,,двор и улица,,"Саларьево,"
303,17,15,3695500.0,38.9,16.6,10.8,16.6,новостройка,панельный дом,1,1,0,1,2.8,,1.0,,,20.0,,['2018'],55.518826,37.345122,переуступка,,,,открытая,,,"Теплый Стан,"
304,22,9,3700000.0,40.0,17.5,11.0,17.5,новостройка,монолитный,1,1,0,1,,1.0,,,,12.0,,['2017'],55.604896,37.653976,214-ФЗ,,,,,двор и улица,,"Царицыно,"
305,17,11,3700000.0,61.5,38.0,12.0,38,вторичка,,0,0,1,0,,,1.0,,,15.0,,,55.595048,37.212962,свободная,,,косметический,,,,"Домодедовская,"
306,11,9,3700000.0,24.0,17.0,,17,вторичка,,0,0,0,0,,1.0,,,,3.0,,,55.577292,37.480148,свободная,,,дизайнерский,,двор,,"Теплый Стан,"
307,16,11,3700000.0,46.0,21.0,15.0,21,вторичка,,0,0,0,1,,,1.0,,,,2015.0,,55.431335,36.865826,свободная,,,отсутствует,,двор,,
308,37,14,19656000.0,126.0,98.0,15.0,,вторичка,монолитный,2,2,0,0,,1.0,1.0,,,5.0,2015.0,,55.834472,37.659649,свободная,нет,,отсутствует,,двор и улица,,"ВДНХ,"
309,20,8,18000000.0,61.0,25.0,16.0,,вторичка,кирпично-монолитный,1,0,1,0,,,1.0,,10.0,,,,55.681859,37.53994,свободная,нет,,,,двор,,"Университет,"
310,5,2,6000000.0,44.0,32.0,6.0,32,вторичка,кирпичный,0,0,1,0,2.75,1.0,,,10.0,,,,55.77876,37.500845,свободная,нет,,косметический,,двор,,"Полежаевская,"
311,17,8,3700000.0,48.0,24.0,9.0,22,новостройка,монолитный,1,1,1,0,,,1.0,,,15.0,,['2016'],55.533279,37.450112,предварительный договор,,,,,двор и улица,,"Теплый Стан,"
312,19,17,3700000.0,67.0,37.0,12.0,37,новостройка,,1,1,0,2,,,1.0,,,20.0,,['2017'],55.492212,37.314813,переуступка,,,,подземная,двор и улица,,"Теплый Стан,"
313,12,2,3700000.0,34.0,16.0,8.0,16,вторичка,,1,1,1,0,2.64,,1.0,,,20.0,,,55.52038,37.351842,свободная,,,косметический,наземная,двор,,"Теплый Стан,"
314,32,18,3702557.0,26.8,18.5,,18.49,новостройка,кирпично-монолитный,1,2,0,0,,1.0,,,20.0,,2013.0,['2018'],55.645719,37.704716,свободная,,,,,двор,,"Марьино,"
315,17,16,3704135.0,23.1,13.2,,13.24,новостройка,монолитный,1,1,0,1,,1.0,,,,4.0,,['2019'],55.670397,37.774751,свободная,,,,,двор,,"Люблино,"
316,25,14,3704310.0,23.7,10.8,5.1,10.8,новостройка,панельный дом,1,1,1,0,,1.0,,,,10.0,,['2018'],55.661196,37.410774,свободная,,,,,двор,,"Юго-Западная,"
317,13,6,3716325.0,37.4,16.1,10.6,16.09,новостройка,монолитный,1,1,0,1,2.8,,1.0,,,20.0,,['2018'],55.516569,37.355069,переуступка,,,,подземная,,,"Теплый Стан,"
318,21,16,3720860.0,28.6,17.0,4.6,17,новостройка,кирпично-монолитный,2,1,0,0,,1.0,,,,15.0,,['2017'],55.57668,37.481457,свободная,,,,,двор,,"Теплый Стан,"
319,24,1,3729300.0,40.1,23.2,7.5,23.200000000000003,новостройка,кирпично-монолитный,2,1,0,0,,1.0,,,,15.0,,['2017'],55.57668,37.481457,свободная,,,,,улица,,"Теплый Стан,"
320,18,4,3729360.0,32.8,16.7,5.4,16.7,новостройка,монолитный,1,1,0,0,,1.0,,,,5.0,,['2017'],55.541158,37.484935,свободная,,,,,двор,,"Бунинская аллея,"
321,13,8,3731000.0,37.3,16.1,10.6,16.09,новостройка,монолитный,1,1,0,1,2.8,,1.0,,,20.0,,['2018'],55.516569,37.355069,переуступка,,,,подземная,,,"Теплый Стан,"
322,25,5,3736500.0,28.2,14.2,6.3,14.2,новостройка,монолитный,1,2,1,0,,1.0,,,1.0,,,['2018'],55.618842,37.414769,свободная,,,,,двор,,"Саларьево,"
323,17,2,3738600.0,24.1,14.3,,14.27,новостройка,монолитный,1,1,0,1,,1.0,,,,4.0,,['2019'],55.670397,37.774751,свободная,,,,,двор,,"Люблино,"
324,17,11,3741236.0,24.8,17.7,,17.56,новостройка,монолитный,1,1,0,1,,1.0,,,,4.0,,['2019'],55.670397,37.774751,свободная,,,,,двор,,"Люблино,"
325,16,8,3744680.0,35.8,14.2,12.2,14.2,новостройка,монолитный,1,1,0,1,,1.0,,,,20.0,,['2019'],55.925023,37.548865,свободная,,,,,двор,,"Алтуфьево,"
326,15,4,37465003943636.0,40.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2019'],55.590994,37.452291,свободная,,,,,улица,,"Саларьево,"
327,14,10,3750000.0,38.0,17.0,10.0,17,новостройка,монолитный,1,1,0,1,,1.0,,,,5.0,,[],55.504134,37.536212,переуступка,,,,,двор,,"Бунинская аллея,"
328,18,14,3750000.0,44.4,15.0,13.0,19,вторичка,,1,1,0,1,2.8,1.0,,,,15.0,,,55.494706,37.553136,свободная,нет,,отсутствует,наземная,двор,,"Аннино,"
329,18,10,3750000.0,37.4,16.6,11.5,16.6,вторичка,,1,1,0,1,,1.0,,,,16.0,2016.0,,55.504206,37.539042,свободная,,,косметический,,двор,,"Бунинская аллея,"
330,17,7,3753260.0,32.0,,,,новостройка,панельный дом,1,2,1,0,,1.0,,,,20.0,,[],55.703309,37.937965,свободная,,,,,двор,,"Выхино,"
331,15,8,37564003954132.0,39.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2019'],55.590994,37.452291,свободная,,,,,улица,,"Саларьево,"
332,22,6,3758300.0,40.7,17.4,10.5,17.4,вторичка,кирпично-монолитный,1,1,0,1,285.0,1.0,,,,10.0,,,55.503757,37.535412,свободная,нет,,отсутствует,,двор,,"Бунинская аллея,"
333,16,4,3759510.0,33.9,12.7,12.8,12.7,новостройка,монолитный,1,1,0,1,,1.0,,,,20.0,,['2019'],55.925023,37.548865,свободная,,,,,двор,,"Алтуфьево,"
334,17,15,3763536.0,27.6,,,,новостройка,монолитный,2,1,0,1,,1.0,,,20.0,,,['2019'],55.869424,37.473391,свободная,,,,,двор,,"Речной вокзал,"
335,9,5,37678003966113.0,38.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2018'],55.593565,37.460725,свободная,,,,,двор,,"Саларьево,"
336,16,11,19800000.0,53.6,35.0,10.0,35,вторичка,панельный дом,1,0,1,0,,,1.0,,10.0,,,,55.790008,37.622881,свободная,да,,евроремонт,,улица,,"Марьина роща,"
337,9,5,25000000.0,90.0,64.0,9.0,64,вторичка,кирпичный,1,0,1,0,2.8,1.0,1.0,,3.0,,,,55.773034,37.675765,свободная,,,косметический,,двор и улица,,"Бауманская,"
338,8,5,17500000.0,87.0,55.0,10.0,53.300000000000004,вторичка,,1,0,1,0,,,1.0,,7.0,,1964.0,,55.793278,37.506361,свободная,,,косметический,наземная,двор,,"Сокол,"
339,21,13,3768930.0,29.7,18.1,4.5,18.1,новостройка,кирпично-монолитный,2,1,0,0,,1.0,,,,15.0,1953.0,['2018'],55.57668,37.481457,свободная,,,,,двор,,"Теплый Стан,"
340,3,1,3770000.0,74.0,49.3,8.3,49.33,новостройка,монолитный,1,1,1,0,,,1.0,,,37.0,,['2016'],55.49766,36.917628,свободная,,,,,двор и улица,,"Саларьево,"
341,17,7,3779100.0,39.8,15.7,9.4,15.68,новостройка,монолитный,1,1,0,1,,1.0,,,,10.0,,['2017'],55.511463,37.56829,переуступка,,,,,двор,,"Бульвар Дмитрия Донского,"
342,17,9,3780000.0,42.0,21.0,8.4,21,вторичка,,1,1,0,1,3.0,1.0,,,,20.0,,,55.533241,37.4508,свободная,нет,,отсутствует,подземная,двор,,"Теплый Стан,"
343,32,22,3780000.0,31.4,21.0,10.0,21,новостройка,монолитный,1,2,0,0,,,,нет,18.0,,2014.0,['2017'],55.645719,37.704716,214-ФЗ,,,,подземная,двор,,"Марьино,"
344,5,3,3790000.0,31.6,15.0,6.2,15,вторичка,,0,0,0,1,2.5,,1.0,,,7.0,,,55.515747,37.535565,альтернатива,да,,косметический,наземная,двор,,"Бунинская аллея,"
345,25,16,3790000.0,45.0,16.0,12.0,16.0,вторичка,кирпичный,2,0,0,0,,,1.0,,,20.0,1984.0,,55.491804,37.552543,свободная,да,,,,двор,,"Южная,"
346,15,2,3793802.0,42.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,20.0,,,['2019'],55.549904,37.508807,свободная,,,,,улица,,"Улица Горчакова,"
347,25,18,3795030.0,28.3,14.2,6.3,14.2,новостройка,монолитный,1,2,1,0,,1.0,,,1.0,,,['2018'],55.618842,37.414769,свободная,,,,,двор,,"Саларьево,"
348,9,9,37960003995816.0,39.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2018'],55.593565,37.460725,свободная,,,,,улица,,"Саларьево,"
349,21,17,3800000.0,46.1,18.0,11.0,18,вторичка,,1,1,0,1,,1.0,,,,10.0,,,55.495098,37.554439,свободная,нет,,отсутствует,,двор,,"Бульвар Дмитрия Донского,"
350,3,2,3800000.0,35.0,18.0,6.0,18,вторичка,кирпичный,0,0,1,0,2.7,1.0,,,20.0,,2015.0,,55.503828,37.564428,свободная,,,евроремонт,наземная,двор,,"Пражская,"
351,12,1,3800000.0,32.0,15.0,6.0,15,вторичка,,1,0,0,1,2.7,,1.0,,,10.0,1963.0,,55.596457,37.656263,свободная,нет,,косметический,наземная,двор,,"Царицыно,"
352,5,1,3800000.0,47.0,33.0,6.0,33,вторичка,,0,0,0,0,2.64,,1.0,,,20.0,,,55.477041,37.544009,свободная,,,косметический,наземная,двор,,"Бульвар Дмитрия Донского,"
353,5,1,3800000.0,23.1,15.8,3.0,15.8,вторичка,кирпичный,0,0,0,0,2.5,1.0,,,,,1973.0,,55.858094,37.513476,свободная,,,косметический,наземная,улица,,
354,3,3,3800000.0,39.0,20.0,9.0,20.0,новостройка,кирпично-монолитный,0,0,1,0,,1.0,,,,10.0,,[],55.519412,37.395328,свободная,,,,,улица,,"Бунинская аллея,"
355,3,2,3800000.0,54.0,28.0,10.0,28,вторичка,,0,0,1,0,,,1.0,,,40.0,,,55.417388,37.400773,свободная,,,косметический,наземная,двор и улица,,"Теплый Стан,"
356,5,5,3800000.0,32.0,17.0,6.0,17,вторичка,,0,0,0,0,,,,нет,,,1988.0,,55.485775,37.495671,свободная,,,евроремонт,,,,
357,7,5,3800000.0,39.3,20.0,10.0,20,новостройка,,0,0,0,1,,1.0,,,,,1973.0,['2017'],55.58505,37.128195,переуступка,,,,,улица,есть,
358,3,3,3800000.0,41.3,18.0,18.0,18,вторичка,,0,0,0,1,2.8,1.0,,,,10.0,,,55.551431,37.325898,свободная,нет,,евроремонт,наземная,двор,,"Саларьево,"
359,22,6,3800000.0,42.0,20.0,10.0,20,вторичка,,1,1,0,1,3.0,1.0,,,,10.0,2014.0,,55.494706,37.553136,свободная,,,отсутствует,наземная,улица,,"Бунинская аллея,"
360,17,2,3800000.0,34.1,17.0,8.4,17,вторичка,,1,1,0,0,2.8,1.0,,,,20.0,2016.0,,55.517974,37.343793,свободная,нет,,косметический,наземная,двор,,"Теплый Стан,"
361,15,2,3801150.0,41.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,,7.0,2016.0,['2019'],55.569153,37.495383,свободная,,,,,улица,,"Бунинская аллея,"
362,15,4,38033004003520.0,42.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2019'],55.590994,37.452291,свободная,,,,,улица,,"Саларьево,"
363,7,2,38048004005040.0,41.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2019'],55.593314,37.459425,свободная,,,,,улица,,"Саларьево,"
364,18,18,15800000.0,75.0,39.0,12.0,39,вторичка,кирпично-монолитный,1,1,1,0,3.3,1.0,1.0,,,13.0,,,55.72997,37.716971,свободная,,,отсутствует,подземная,двор,,"Авиамоторная,"
365,5,2,193000000.0,304.0,240.0,22.0,166,вторичка,,1,0,0,0,,,3.0,,3.0,,2009.0,,55.754481,37.607933,свободная,да,,,,двор,,"Арбатская,"
366,17,2,4198654.0,26.5,11.2,5.0,11.2,новостройка,монолитный,1,1,1,0,,1.0,,,,10.0,,['2018'],55.718198,37.42533,свободная,,,,,двор,,"Кунцевская,"
367,7,5,38066004006988.0,40.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2019'],55.593314,37.459425,свободная,,,,,улица,,"Саларьево,"
368,17,17,3809325.0,39.1,18.9,9.4,,новостройка,кирпично-монолитный,1,1,0,0,,1.0,,,,15.0,,['2017'],55.511517,37.568377,переуступка,,,,,,,"Аннино,"
369,15,2,38117004012272.0,44.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2019'],55.590994,37.452291,свободная,,,,,улица,,"Саларьево,"
370,14,2,38235004024724.0,42.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2019'],55.592921,37.459795,свободная,,,,,улица,,"Саларьево,"
371,15,5,3837606.0,41.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,20.0,,,['2019'],55.549904,37.508807,свободная,,,,,улица,,"Улица Горчакова,"
372,25,15,3840060.0,22.3,11.2,5.0,11.2,новостройка,панельный дом,1,1,0,0,,1.0,,,15.0,,,['2018'],55.875255,37.602595,свободная,,,,,двор,,"Отрадное,"
373,4,4,3845000.0,31.6,17.2,6.2,17.2,вторичка,,0,0,1,0,,1.0,,,,,,,55.514294,37.565937,свободная,,,косметический,,двор,,
374,3,3,3850000.0,43.0,15.5,12.3,15.5,вторичка,кирпичный,0,0,0,0,,1.0,,,,15.0,1965.0,,55.518943,37.394575,свободная,,,косметический,наземная,двор,,"Теплый Стан,"
375,22,12,3850000.0,46.2,19.2,14.5,19.2,вторичка,,1,1,1,0,,1.0,,,,15.0,,,55.494706,37.553136,свободная,,,отсутствует,наземная,двор и улица,,"Бунинская аллея,"
376,17,8,3850000.0,44.0,22.0,10.0,22,новостройка,монолитный,1,1,0,1,,,,нет,19.0,,,['2016'],55.533216,37.449327,переуступка,,,,,,,"Теплый Стан,"
377,5,4,3850000.0,25.0,16.5,4.0,16.5,вторичка,,0,0,0,0,,,,нет,15.0,,,,55.744166,37.770439,свободная,,,косметический,,,,"Перово,"
378,19,14,3850000.0,39.0,16.0,10.0,16,вторичка,кирпично-монолитный,1,1,0,1,2.75,1.0,,,,10.0,1968.0,,55.504206,37.539042,свободная,нет,,отсутствует,наземная,двор,,"Бунинская аллея,"
379,17,4,3850000.0,35.4,14.3,9.0,14.3,вторичка,,1,1,0,0,2.64,,1.0,,,,2014.0,,55.611689,37.255291,свободная,,,косметический,наземная,двор,,"Саларьево,"
380,8,3,3850000.0,43.2,18.0,10.8,28.74,новостройка,,0,0,1,0,,1.0,,,,,1997.0,[],55.626262,37.311121,переуступка,,апартаменты,,,двор,,
